"clade","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","na_percent"
56,"Calliandra_brevicaulis","herbaceous subshrubs, subherbaceous subshrubs","","capiula cymose-umbilliform","","5-7","","","","","","34","","no","","","","","",NA,NA,NA,65,15.5,NA,4.1,1.1,8.6,3.5,NA,52.5,17.2413793103448
56,"Calliandra_bella","arborescent shrubs",NA,"capituliform racemes",NA,NA,NA,NA,"yes",NA,"campanulate",NA,"white",NA,"present",NA,NA,"absent","",400,NA,NA,5,0.155,0.105,0.315,0.07,0.8,0.325,NA,4.65,44.8275862068966
57,"Calliandra_erubescens","Shrubs",NA,NA,NA,"2444-merous",NA,NA,NA,NA,"shallowly campanulate",NA,"rubescent",NA,"present",NA,"present","absent","",225,NA,NA,3.25,0.065,0.15,0.155,0.04,0.56,0.25,NA,2.7,44.8275862068966
57,"Calliandra_bahiana","shrubs",NA,"capitula",NA,"4 (5)-merous",NA,NA,NA,NA,"shallowly campanulate",NA,"white rubescent",NA,"present",NA,"present","absent","",230,NA,NA,NA,0.08,0.31,0.55,0.09,1.1,0.5,NA,0.38,44.8275862068966
58,"Acaciella_angustissima","shrubs, trees","","racemes","capitulum like racemes","","","","","","","","","","","","","","",NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9310344827586
58,"Acaciella_tequilana","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
59,"Zapoteca_ravenii","shrubs","","capitula","capitula axillary","5","","","","","","","white","","","","","","",4,NA,NA,38,NA,NA,5,NA,4,1,NA,12,20.6896551724138
60,"Viguieranthus_glaber","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
61,"Viguieranthus_glandulosus","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276
62,"Faidherbia_albida","tree","","spike","slender","5","","","","","","","","","","","","","",3000,90,NA,NA,NA,NA,1.35,NA,3.25,NA,NA,NA,27.5862068965517
